tp,hits,total,win_rate,pnl,vs_actual
0.1,13,62,20.967741935483872,1.3,-13.559999999999995
0.15,12,62,19.35483870967742,1.7999999999999996,-13.059999999999997
0.2,6,62,9.67741935483871,1.2,-13.659999999999997
0.25,3,62,4.838709677419355,0.75,-14.109999999999996
0.3,0,62,0.0,0.0,-14.859999999999996
0.35,0,62,0.0,0.0,-14.859999999999996
0.4,0,62,0.0,0.0,-14.859999999999996
0.5,0,62,0.0,0.0,-14.859999999999996
0.6,0,62,0.0,0.0,-14.859999999999996
0.8,0,62,0.0,0.0,-14.859999999999996
1.0,0,62,0.0,0.0,-14.859999999999996
