trail_points,max_candles,trail_hits,time_exits,total,win_rate,pnl,vs_actual
3,2,22,40,62,41.935483870967744,-0.219149999999945,-15.079149999999942
3,3,34,28,62,40.32258064516129,-0.3013499999999748,-15.16134999999997
3,5,52,10,62,30.64516129032258,-0.6285499999999775,-15.488549999999973
3,10,59,3,62,22.58064516129032,-0.8144499999999969,-15.674449999999993
3,15,62,0,62,22.58064516129032,-0.8657499999999708,-15.725749999999966
3,20,62,0,62,22.58064516129032,-0.8657499999999708,-15.725749999999966
3,30,62,0,62,22.58064516129032,-0.8657499999999708,-15.725749999999966
5,2,5,57,62,51.61290322580645,0.02360000000005127,-14.836399999999944
5,3,8,54,62,51.61290322580645,0.10350000000003094,-14.756499999999965
5,5,27,35,62,40.32258064516129,-0.4466999999999919,-15.306699999999989
5,10,40,22,62,40.32258064516129,-0.4671999999999938,-15.327199999999989
5,15,51,11,62,30.64516129032258,-0.644299999999994,-15.50429999999999
5,20,55,7,62,35.483870967741936,-0.6562999999999738,-15.51629999999997
5,30,59,3,62,35.483870967741936,-0.6660999999999787,-15.526099999999975
7,2,2,60,62,53.2258064516129,0.08630000000005565,-14.77369999999994
7,3,3,59,62,53.2258064516129,0.2034000000000287,-14.656599999999967
7,5,9,53,62,46.774193548387096,-0.21259999999996576,-15.072599999999962
7,10,20,42,62,53.2258064516129,-0.19609999999996952,-15.056099999999965
7,15,34,28,62,43.54838709677419,-0.441999999999989,-15.301999999999985
7,20,44,18,62,38.70967741935484,-0.6661999999999534,-15.52619999999995
7,30,55,7,62,29.03225806451613,-0.7218999999999687,-15.581899999999965
10,2,0,62,62,53.2258064516129,0.10710000000005492,-14.752899999999942
10,3,0,62,62,53.2258064516129,0.22260000000003857,-14.637399999999957
10,5,5,57,62,46.774193548387096,-0.32919999999995525,-15.189199999999952
10,10,12,50,62,54.83870967741935,-0.3209999999999947,-15.18099999999999
10,15,20,42,62,45.16129032258064,-0.25550000000002915,-15.115500000000026
10,20,24,38,62,45.16129032258064,-0.22059999999997684,-15.080599999999972
10,30,35,27,62,40.32258064516129,-0.5833000000000081,-15.443300000000004
15,2,0,62,62,53.2258064516129,0.10710000000005492,-14.752899999999942
15,3,0,62,62,53.2258064516129,0.22260000000003857,-14.637399999999957
15,5,0,62,62,46.774193548387096,-0.27749999999995445,-15.13749999999995
15,10,4,58,62,54.83870967741935,-0.5577999999999975,-15.417799999999993
15,15,11,51,62,46.774193548387096,-0.7337000000000444,-15.593700000000041
15,20,16,46,62,45.16129032258064,-0.961899999999978,-15.821899999999975
15,30,29,33,62,40.32258064516129,-1.7835000000000218,-16.643500000000017
20,2,0,62,62,53.2258064516129,0.10710000000005492,-14.752899999999942
20,3,0,62,62,53.2258064516129,0.22260000000003857,-14.637399999999957
20,5,0,62,62,46.774193548387096,-0.27749999999995445,-15.13749999999995
20,10,2,60,62,54.83870967741935,-0.5798999999999798,-15.439899999999975
20,15,3,59,62,46.774193548387096,-0.7447000000000206,-15.604700000000017
20,20,7,55,62,46.774193548387096,-0.9518999999999778,-15.811899999999973
20,30,20,42,62,41.935483870967744,-2.6753000000000156,-17.53530000000001
30,2,0,62,62,53.2258064516129,0.10710000000005492,-14.752899999999942
30,3,0,62,62,53.2258064516129,0.22260000000003857,-14.637399999999957
30,5,0,62,62,46.774193548387096,-0.27749999999995445,-15.13749999999995
30,10,0,62,62,54.83870967741935,-0.5428999999999723,-15.402899999999969
30,15,0,62,62,46.774193548387096,-0.610600000000013,-15.470600000000008
30,20,0,62,62,46.774193548387096,-0.645199999999968,-15.505199999999963
30,30,0,62,62,41.935483870967744,-2.190200000000004,-17.0502
50,2,0,62,62,53.2258064516129,0.10710000000005492,-14.752899999999942
50,3,0,62,62,53.2258064516129,0.22260000000003857,-14.637399999999957
50,5,0,62,62,46.774193548387096,-0.27749999999995445,-15.13749999999995
50,10,0,62,62,54.83870967741935,-0.5428999999999723,-15.402899999999969
50,15,0,62,62,46.774193548387096,-0.610600000000013,-15.470600000000008
50,20,0,62,62,46.774193548387096,-0.645199999999968,-15.505199999999963
50,30,0,62,62,41.935483870967744,-2.190200000000004,-17.0502
